TOTAL_TEXT_CHANGED=1027

factions/adepta-sororitas.js | core-leader | "领袖" | len 999 -> 2 | "某些 **角色(Character)** 单位在牌表上列有「领袖」。这些 **角"… -> "领袖"
factions/adeptus-mechanicus.js | core-deep-strike | "深入打击" | len 167 -> 4 | "于宣告战阵步骤时，若此单位中的每个模型都具有此能力，你可以将其设置在后备中，而非"… -> "深入打击"
factions/adeptus-mechanicus.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 146 -> 6 | "有些模型能力中列有「不觉疼痛 x+」。每当具有此能力的模型受到伤害并因此将失去一"… -> "不觉疼痛5+"
factions/adeptus-mechanicus.js | core-feel-no-pain-5 | "不觉疼痛5+" | len 146 -> 6 | "有些模型能力中列有「不觉疼痛 x+」。每当具有此能力的模型受到伤害并因此将失去一"… -> "不觉疼痛5+"
factions/adeptus-mechanicus.js | core-deadly-demise-1 | "致命破灭" | len 151 -> 5 | "部分模型的能力中有「致命破灭 x」。当该模型被摧毁时，于将其移除出场前掷一次 D"… -> "致命破灭1"
factions/adeptus-mechanicus.js | core-deadly-demise-1 | "致命破灭" | len 147 -> 5 | "某些模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其移除出场前掷一个 D"… -> "致命破灭1"
factions/adeptus-mechanicus.js | core-deadly-demise-d3 | "致命破灭" | len 147 -> 6 | "某些模型的能力中列有「致命破灭 x」。当此类模型被摧毁时，在将其从场地移除前掷一"… -> "致命破灭D3"
factions/adeptus-mechanicus.js | core-deep-strike | "深入打击" | len 167 -> 4 | "于宣告战阵步骤时，若此单位中的每个模型都具有此能力，你可以将其设置在后备中，而非"… -> "深入打击"
factions/adeptus-mechanicus.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣布战阵」阶段，如果一个单位中的每个模型都具有此能力，你可以将其设定在预备队"… -> "深入打击"
factions/adeptus-mechanicus.js | core-infiltrators | "渗透" | len 77 -> 2 | "于部署时，若单位中的每个模型都具有此能力，则当你配置该单位时，可以将其配置在战场"… -> "渗透"
factions/adeptus-mechanicus.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的所有模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/adeptus-mechanicus.js | core-stealth | "潜行" | len 42 -> 2 | "若此单位内每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰减 "… -> "潜行"
factions/adeptus-mechanicus.js | core-deadly-demise-d3 | "致命破灭" | len 161 -> 6 | "某些模型在其能力中列有「致命破灭 x」。当这样的模型被摧毁时，在将其移出游戏前掷"… -> "致命破灭D3"
factions/adeptus-mechanicus.js | core-deadly-demise-d3 | "致命破灭" | len 158 -> 6 | "部分模型的能力中列有「毁灭性决心 x」。当此类模型被摧毁时，在将其移出游戏前掷一"… -> "致命破灭D3"
factions/adeptus-mechanicus.js | core-deadly-demise-1 | "致命破灭" | len 151 -> 5 | "部分模型的能力中有「致命破灭 x」。当该模型被摧毁时，于将其移除出场前掷一次 D"… -> "致命破灭1"
factions/adeptus-mechanicus.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/adeptus-mechanicus.js | core-deadly-demise-1 | "致命破灭" | len 151 -> 5 | "部分模型的能力中有「致命破灭 x」。当该模型被摧毁时，于将其移除出场前掷一次 D"… -> "致命破灭1"
factions/adeptus-mechanicus.js | core-stealth | "潜行" | len 42 -> 2 | "若此单位内每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰减 "… -> "潜行"
factions/adeptus-mechanicus.js | core-lone-operative | "独行特工" | len 60 -> 4 | "除非为隶属单位的一部分（见部署能力章节中的领袖），此单位只有在攻击模型距离在 1"… -> "独行特工"
factions/adeptus-mechanicus.js | core-stealth | "潜行" | len 42 -> 2 | "若此单位内每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰减 "… -> "潜行"
factions/adeptus-mechanicus.js | core-leader | "领袖" | len 997 -> 2 | "某些 **角色(Character)** 单位的数据卡上列有「领袖」。这类 **"… -> "领袖"
factions/adeptus-mechanicus.js | core-leader | "领袖" | len 941 -> 2 | "某些**角色(Character)**单位的资料表上注有「领袖」。这些**角色("… -> "领袖"
factions/adeptus-mechanicus.js | core-leader | "领袖" | len 1020 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「Leader」。此"… -> "领袖"
factions/adeptus-mechanicus.js | core-deadly-demise-d3 | "致命破灭" | len 150 -> 6 | "部分模型具有「致命破灭 x」能力。当此类模型被摧毁时，在将其从战场移除前掷一次 "… -> "致命破灭D3"
factions/adeptus-mechanicus.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-d3 | "致命破灭 D3" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-scouts-7 | "斥候7\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候7\\\""
factions/aeldari.js | core-scouts-7 | "斥候7\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候7\\\""
factions/aeldari.js | core-scouts-7 | "斥候7\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候7\\\""
factions/aeldari.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为联合单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-d3 | "致命破灭 D3" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-d3 | "致命破灭 D3" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-scouts-7 | "斥候7\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候7\\\""
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-d3 | "致命破灭 D3" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-scouts-7 | "斥候7\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候7\\\""
factions/aeldari.js | core-infiltrators | "渗透" | len 77 -> 2 | "于部署时，若单位中的每个模型都具有此能力，则当你部署该单位时，可以将其部署在战场"… -> "渗透"
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/aeldari.js | core-deadly-demise-d6-6 | "致命破灭 D6" | len 146 -> 8 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D6+6"
factions/aeldari.js | core-scouts-9 | "斥候9\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候9\\\""
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/aeldari.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为联合单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/aeldari.js | core-deadly-demise-2d6 | "致命破灭 2" | len 146 -> 7 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭2D6"
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/aeldari.js | core-deadly-demise-1 | "致命破灭 1" | len 146 -> 5 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭1"
factions/aeldari.js | core-scouts-7 | "斥候7\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候7\\\""
factions/aeldari.js | core-deadly-demise-1 | "致命破灭 1" | len 146 -> 5 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭1"
factions/aeldari.js | core-infiltrators | "渗透" | len 77 -> 2 | "于部署时，若单位中的每个模型都具有此能力，则当你部署该单位时，可以将其部署在战场"… -> "渗透"
factions/aeldari.js | core-scouts-7 | "斥候7\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候7\\\""
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-d3 | "致命破灭 D3" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-1 | "致命破灭 1" | len 146 -> 5 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭1"
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/aeldari.js | core-deadly-demise-1 | "致命破灭 1" | len 146 -> 5 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭1"
factions/aeldari.js | core-scouts-9 | "斥候9\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候9\\\""
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-d3 | "致命破灭 D3" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-deadly-demise-d6 | "致命破灭 D6" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D6"
factions/aeldari.js | core-deadly-demise-d6 | "致命破灭 D6" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D6"
factions/aeldari.js | core-deadly-demise-1 | "致命破灭 1" | len 146 -> 5 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭1"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-d3 | "致命破灭 D3" | len 146 -> 6 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭D3"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-deadly-demise-1 | "致命破灭 1" | len 146 -> 5 | "有些模型具有「致命破灭 x」的能力。当该模型被摧毁时，在将其移出战场前掷一次 D"… -> "致命破灭1"
factions/aeldari.js | core-deep-strike | "深入打击" | len 173 -> 4 | "在宣示战斗编队阶段，若一个单位中的每个模型都具有此能力，你可以将其设置在预备队中"… -> "深入打击"
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-leader | "领袖" | len 1005 -> 2 | "某些 **角色(Character)** 单位的资料表上列有「领袖」。这类 **"… -> "领袖"
factions/aeldari.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为联合单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/aeldari.js | core-scouts-9 | "斥候9\\" | len 259 -> 5 | "某些单位的能力中列有「斥候x\\\"」。若单位中的每个模型都有此能力，则在首场战斗回"… -> "斥候9\\\""
factions/aeldari.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/agents-of-imperium.js | core-deep-strike | "深入打击" | len 176 -> 4 | "在「宣告战斗阵形」步骤中，如果单位中的每个模型都有此能力，可以将其置于预备队中，"… -> "深入打击"
factions/agents-of-imperium.js | core-infiltrators | "渗透" | len 70 -> 2 | "在部署期间，如果一个单位中的每个模型都具有此能力，那麽当你部署它时，它可以部署在"… -> "渗透"
factions/agents-of-imperium.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为附属单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/agents-of-imperium.js | core-deadly-demise-d6 | "致命破灭" | len 146 -> 6 | "某些模型的能力中列有「致命毁灭 x」。当此类模型被摧毁时，在将其移出场景前掷 1"… -> "致命破灭D6"
factions/agents-of-imperium.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的每个模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/agents-of-imperium.js | core-deep-strike | "深入打击" | len 163 -> 4 | "在宣告战阵步骤中，若此单位内的每个模型都具有此能力，则可将其放入预备队而非在战场"… -> "深入打击"
factions/agents-of-imperium.js | core-lone-operative | "独行特工" | len 60 -> 4 | "除非为隶属单位的一部分（见部署能力章节中的领袖），此单位只有在攻击模型距离在 1"… -> "独行特工"
factions/agents-of-imperium.js | core-stealth | "潜行" | len 44 -> 2 | "若此单位的所有模型都具有此能力，则每次对其进行远程攻击时，从该攻击的命中掷骰中减"… -> "潜行"
factions/agents-of-imperium.js | core-deadly-demise-d3 | "致命破灭" | len 161 -> 6 | "某些模型在其能力中列有「致命破灭 x」。当这样的模型被摧毁时，在将其移出游戏前掷"… -> "致命破灭D3"
factions/agents-of-imperium.js | core-lone-operative | "独行特工" | len 59 -> 4 | "除非此单位为附属单位的一部分（参见部署能力章节的领袖），否则此单位只有在攻击模型"… -> "独行特工"
factions/agents-of-imperium.js | core-deep-strike | "深入打击" | len 177 -> 4 | "在宣布战场阵型阶段，若此单位内的每个模型都具有此能力，你可以将其放入后备队（Re"… -> "深入打击"
factions/agents-of-imperium.js | core-deadly-demise-d3 | "致命破灭" | len 149 -> 6 | "部分模型的能力栏列有「致命破灭 x」。当此类模型被消灭时，在将其从游戏中移除前掷"… -> "致命破灭D3"
factions/agents-of-imperium.js | core-leader | "领袖" | len 987 -> 2 | "某些**角色(Character)**单位在资料表上列有「领袖」。此类**角色("… -> "领袖"
factions/agents-of-imperium.js | core-leader | "领袖" | len 973 -> 2 | "某些 **角色(Character)** 单位的数据表上列有「领袖」。此类 **"… -> "领袖"
